Date,OTG,DSM,OTM
2015-01-01,284.095031738281,283.756713867188,283.954376220703
2015-01-02,282.992401123047,284.673767089844,284.948913574219
2015-01-03,284.575073242188,285.497344970703,285.960388183594
2015-01-04,284.310668945313,285.116912841797,285.602264404297
2015-01-05,284.934661865234,285.515777587891,285.975677490234
2015-01-06,283.843048095703,285.386444091797,286.217956542969
2015-01-07,278.687042236328,282.999633789063,284.037078857422
2015-01-08,275.323059082031,277.103515625,277.939971923828
2015-01-09,275.821472167969,276.747436523438,277.861877441406
2015-01-10,277.333831787109,278.293640136719,279.44873046875
2015-01-11,280.806335449219,281.615478515625,282.368194580078
2015-01-12,283.045562744141,284.319244384766,284.9326171875
2015-01-13,284.279571533203,283.435760498047,284.081939697266
2015-01-14,283.548522949219,283.316101074219,284.156005859375
2015-01-15,283.426330566406,284.654174804688,285.217864990234
2015-01-16,285.098449707031,286.051544189453,286.859283447266
2015-01-17,285.492218017578,287.146545410156,287.355895996094
2015-01-18,283.511840820313,285.278656005859,285.915344238281
2015-01-19,284.506439208984,285.264312744141,285.930572509766
2015-01-20,284.910919189453,286.743194580078,287.235382080078
2015-01-21,281.985382080078,284.824310302734,286.161193847656
2015-01-22,274.927703857422,280.9716796875,283.093444824219
2015-01-23,274.438659667969,277.855346679688,280.00244140625
2015-01-24,272.249542236328,276.173400878906,277.935089111328
2015-01-25,271.556304931641,275.243530273438,276.676940917969
2015-01-26,270.620910644531,273.109252929688,274.130645751953
2015-01-27,270.476867675781,273.204559326172,274.057006835938
2015-01-28,271.100769042969,274.618225097656,276.15185546875
2015-01-29,274.118469238281,279.545013427734,280.626953125
2015-01-30,280.744262695313,282.769622802734,283.588226318359
2015-01-31,283.382263183594,284.066375732422,284.933563232422
2015-02-01,282.188232421875,284.337585449219,285.259429931641
2015-02-02,283.77294921875,285.338806152344,286.168792724609
2015-02-03,284.704772949219,285.611663818359,286.061065673828
2015-02-04,284.86572265625,285.892608642578,286.080169677734
2015-02-05,282.979827880859,284.545806884766,285.139343261719
2015-02-06,283.199005126953,284.86181640625,285.25244140625
2015-02-07,282.31884765625,285.093658447266,285.350250244141
2015-02-08,285.140747070313,287.103271484375,287.516754150391
2015-02-09,285.411346435547,287.699584960938,287.505554199219
2015-02-10,286.941131591797,287.584655761719,287.157867431641
2015-02-11,288.113464355469,289.231750488281,288.884490966797
2015-02-12,287.789398193359,289.253662109375,289.333526611328
2015-02-13,288.474670410156,289.384399414063,289.364807128906
2015-02-14,289.276062011719,291.085815429688,290.7724609375
2015-02-15,289.407440185547,291.149078369141,291.180572509766
2015-02-16,290.465209960938,291.264099121094,290.931640625
2015-02-17,290.498474121094,290.968444824219,290.887847900391
2015-02-18,292.14208984375,292.230194091797,291.992919921875
2015-02-19,290.956237792969,291.415832519531,291.505279541016
2015-02-20,291.091430664063,292.185913085938,292.095001220703
2015-02-21,287.447662353516,289.168365478516,289.212005615234
2015-02-22,284.893310546875,286.956146240234,286.915313720703
2015-02-23,287.146575927734,287.693084716797,288.136627197266
2015-02-24,291.019409179688,293.254852294922,293.007232666016
2015-02-25,289.923858642578,292.389984130859,291.970581054688
2015-02-26,286.937866210938,288.451049804688,289.020080566406
2015-02-27,290.381134033203,292.256072998047,292.316070556641
2015-02-28,290.597503662109,291.894104003906,291.575286865234
2015-03-01,291.444885253906,291.457275390625,291.080749511719
2015-03-02,286.62255859375,289.250457763672,288.963226318359
2015-03-03,288.828857421875,290.363189697266,290.091583251953
2015-03-04,287.061218261719,287.500549316406,287.417083740234
2015-03-05,287.673126220703,289.817779541016,290.027526855469
2015-03-06,291.289733886719,292.535064697266,292.205474853516
2015-03-07,293.088226318359,295.081878662109,294.626007080078
2015-03-08,294.899627685547,295.400177001953,294.536590576172
2015-03-09,295.736724853516,294.338073730469,293.184844970703
2015-03-10,291.968078613281,291.918395996094,291.025421142578
2015-03-11,292.75146484375,292.465362548828,291.627136230469
2015-03-12,292.386962890625,291.257843017578,290.483917236328
2015-03-13,290.097503662109,292.298431396484,291.975494384766
2015-03-14,287.163513183594,289.890655517578,290.158111572266
2015-03-15,288.062103271484,290.570831298828,290.443542480469
2015-03-16,288.890045166016,290.936401367188,290.758850097656
2015-03-17,293.360748291016,294.935150146484,294.324737548828
2015-03-18,291.916931152344,292.66064453125,292.049224853516
2015-03-19,288.169525146484,290.896118164063,290.684539794922
2015-03-20,287.626739501953,289.834777832031,289.341003417969
2015-03-21,290.949432373047,291.940765380859,291.673706054688
2015-03-22,287.959625244141,291.224578857422,291.265777587891
2015-03-23,287.699188232422,289.665252685547,289.447265625
2015-03-24,287.580810546875,291.14453125,291.3212890625
2015-03-25,291.228820800781,293.571044921875,293.009338378906
2015-03-26,293.517242431641,294.057525634766,292.967437744141
2015-03-27,292.890197753906,292.849731445313,292.290618896484
2015-03-28,291.992858886719,292.209838867188,291.609375
2015-03-29,289.672027587891,291.266754150391,290.901336669922
2015-03-30,288.580596923828,291.005096435547,290.804748535156
2015-03-31,288.154418945313,289.675323486328,289.186950683594
2015-04-01,288.085998535156,290.734680175781,290.344696044922
2015-04-02,283.849731445313,288.7021484375,288.572784423828
2015-04-03,285.122528076172,286.203216552734,285.575592041016
2015-04-04,287.885803222656,290.5947265625,290.568969726563
2015-04-05,287.805480957031,290.916656494141,291.0419921875
2015-04-06,288.255645751953,290.930786132813,290.807678222656
2015-04-07,288.450164794922,291.058990478516,291.068237304688
2015-04-08,290.843231201172,293.530883789063,292.82470703125
2015-04-09,288.703735351563,291.154541015625,290.965179443359
